PMID,title,year,journal,flag_protein,flag_net_carbs,flag_fiber,flag_calcium,flag_iron,flag_magnesium,flag_phosphorus,flag_potassium,flag_sodium,flag_zinc,flag_copper,flag_vitamin_a,flag_vitamin_c,flag_vitamin_d,flag_vitamin_b12,flag_vitamin_b6,flag_thiamine,flag_riboflavin,flag_niacin,flag_folate,flag_saturated_fat,flag_monounsaturated_fat,flag_polyunsaturated_fat,flag_linoleic_acid,flag_alpha_linolenic_acid
41941492,"Managing Anaemia in Pregnancy with Traditional Medicines: Experiences of women in the Cape Coast Metropolis, Ghana.",2026,PloS one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41908780,Reducing relapses after acute malnutrition treatment: evidence from a simplified approach in emergency settings of Mali.,2026,Frontiers in public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41883324,Mother-child dyads double burden of malnutrition and associated factors in Burkina Faso.,2026,Public health nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41825474,"Oral rehydration for severe malnutrition in children with moderate and severe dehydration (GASTROSAM): a phase 2, open-label, superiority randomised controlled trial.",2026,The Lancet. Child & adolescent health,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41807671,Prevalence and associated factors of anemia among women of childbearing age in the eastern region of Burkina Faso.,2026,Scientific reports,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41729840,Implementing intravenous iron for maternal anemia in Nigeria: A qualitative study of healthcare provider experiences using the normalization process theory.,2026,PloS one,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41729835,"Malaria and malnutrition in children under the Seasonal Malaria Chemoprevention (SMC) coverage in the health district of Nanoro, Burkina Faso.",2026,PloS one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41686543,"Estimation of prevalence and complications of iron deficiency anemia in pregnancy at Obio-Akpor, Rivers State, Nigeria from 2019 to 2023.",2026,Medicine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41637471,Intravenous iron for anaemia in pregnancy: A quantitative study of acceptability and feasibility of its integration into routine antenatal care practice in Nigeria.,2026,PloS one,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41628108,Patients' perceptions of care in a Type 1 hybrid effectiveness-implementation trial on intravenous iron for anaemia in pregnancy in Nigeria.,2026,PloS one,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41617945,Ovarian reserve and oxidative stress in sickle cell anaemia: a comparative cross-sectional study.,2026,Scientific reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41580870,"Coronavirus disease 19 death among infants with complications of severe acute malnutrition, Kenema district, Sierra Leone, June 2020: a case series.",2026,Journal of medical case reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41569394,Caregiver Screening for Relapse Among Children Recently Recovered From Severe Acute Malnutrition: A Randomized Controlled Feasibility Trial.,2026,Maternal & child nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41554788,The effect of air pollution and household environmental indicators on anemia status among under-five children in low-middle income countries: exploring potential machine learning applications on demographic and health surveys.,2026,Scientific reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41520274,Genetic patterns & public health implications of sickle cell anaemia across populations: A systematic review.,2025,The Indian journal of medical research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41519151,Episiotomy and postpartum haemorrhage in women with moderate or severe anaemia: a cohort analysis of data from the WOMAN-2 trial.,2026,The Lancet. Global health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
