Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar",0.010083972761205902,0.0008458292406963143,0.0002981886354617771,0.0032965719300734374,0.0011026565144760336,0.002884166368516785,0.004295288822899995,0.008241869404549625,0.008611864560662182,0.0060529976498284715,0.0032724316949371184,0.0,0.00037078500184207873,0.0027955982733690377,0.0,0.006054044196724647,0.024029367151315192
01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar",0.0016531102887222791,0.0005638861604642096,0.00023855090836942167,0.0027471432750611983,0.0005513282572380168,0.005191499463330213,0.002505585146691664,0.0016788993231489976,0.00253290134137123,0.0021790791539382497,0.006971702306605165,0.0,0.0,0.0,0.0,0.0028489619749292455,0.022169029049277887
01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,0.0008265551443611396,0.0008458292406963143,0.0007752904522006205,0.0060437152051346366,0.0002756641286190084,0.0011536665474067142,0.004653229558141661,0.002136780956735088,0.001809215243836593,0.005084518025855916,0.00042683891673092844,0.0,0.0,0.0,0.0,0.0032050822217954008,0.03193580408497374
01_188,"Biscuit, sweet, plain, unfortified",0.01107583893443927,0.002819430802321048,0.014193779047980588,0.010988573100244793,0.003307969543428101,0.007498832558143641,0.00572705176386666,0.016636366020294613,0.008611864560662182,0.01501143417157461,0.0554890591750207,0.0018147399200101305,0.00018539250092103937,0.0013977991366845189,0.0015144806472899134,0.009615246665386204,0.09751272218178875
01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,0.0026449764619556463,0.0047930323639457815,0.04818728349062318,0.015384002340342708,0.010199572758903312,0.02480383076924435,0.012527925733458319,0.02182569120093697,0.014546090560446206,0.0130744749236295,0.032297478032640256,0.0003595239464171013,0.0037078500184207874,0.008386794820107114,0.003028961294579827,0.014957050368378537,0.023564282625805864
01_047,"Bread, wheat, white for toasting, unfortified",0.004298086750677926,0.0033833169627852573,0.00429391635064959,0.014834573685330471,0.005513282572380168,0.008652499105550356,0.00859057764579999,0.014804839485950252,0.009263182048443355,0.021306551727396223,0.06416811714854957,0.0,9.269625046051968e-05,0.0,0.0,0.014066749751213149,0.06774731254919186
01_046,"Bread, wheat, white, unfortified",0.005620574981655749,0.003947203123249468,0.0011927545418471085,0.01593343099535495,0.005788946700999177,0.014420831842583925,0.010380281322008321,0.013736449007582708,0.010059236755731456,0.018158992949485416,0.09618103590336921,0.0,9.269625046051968e-05,0.0,0.0,0.017627952219874704,0.0737934113808131
01_048,"Bread, wheat, wholemeal, unfortified",0.015208614656244967,0.006484690845338411,0.005665584073773764,0.03516343392078334,0.008545587987189261,0.012690332021473856,0.024339969996433307,0.029762306183095867,0.017006623292063972,0.02687530956523841,0.06231848184271555,0.0,9.269625046051968e-05,0.0,0.0,0.027777379255560144,0.04836879065296994
01_045,"Bread/rolls, white, unfortified",0.004298086750677926,0.0036652600430173623,0.004472829531926657,0.01373571637530599,0.007994259729951244,0.00576833273703357,0.00859057764579999,0.016178484386708523,0.010059236755731456,0.023001391069348193,0.06487951534310113,0.0,0.00012359500061402624,0.0,0.0,0.015491230738677772,0.07518866495734108
01_160,Cantonese rice with fish and noodles (Burkina Faso)*,0.0026449764619556463,0.0047930323639457815,0.03423205535101201,0.008790858480195835,0.0024809771575710756,0.004614666189626857,0.007874696175316657,0.015720602753122433,0.013677667243404643,0.013316594829622637,0.03884234142251449,0.0007532882686834503,0.0023792037618200054,0.006988995683422595,0.0015144806472899134,0.011395847899716982,0.0466634807261024
01_189,"Croissant, plain, unfortified",0.011406460992183726,0.004511089283713677,0.008528194974206824,0.01648285965036719,0.016539847717140507,0.008075665831846999,0.007874696175316657,0.01602585717551316,0.009552656487457211,0.020095952197430527,0.05577361845284132,0.0013182544701960382,0.00030898750153506564,0.0,0.0015144806472899134,0.013888689627780072,0.05689534028730758
01_002,"Fonio, black, whole grains, raw",0.008430862472483622,0.01240549553021261,0.006202323617604964,0.09010629942200729,0.03307969543428101,0.0576833273703357,0.1539145161539165,0.03571476741971504,0.024605327316177664,0.020095952197430527,0.001138237111282476,3.4240375849247745e-05,0.0,0.0,0.0,0.06766284690456957,0.06728222802368253
01_124,"Fonio, black, whole grains, boiled* (as part of a recipe)",0.003471531606316786,0.005074975444177886,0.002564422264971283,0.037910577195844536,0.011302229273379346,0.024226997495540997,0.06407139160825825,0.014957466697145615,0.010276342584991847,0.00847419670975986,0.00042683891673092844,1.7120187924623873e-05,0.0,0.0,0.0,0.028133499502426298,0.027905071530559575
01_049,"Fonio, black, whole grains, boiled* (without salt), drained",0.003471531606316786,0.005074975444177886,0.002564422264971283,0.037910577195844536,0.009923908630284303,0.024226997495540997,0.06407139160825825,0.014194330641168798,0.0081776529021414,0.00847419670975986,0.00042683891673092844,1.7120187924623873e-05,0.0,0.0,0.0,0.026709018514961675,0.027905071530559575
