Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar",0.0001659913211721132,3.4807787682975396e-06,2.4542274523602996e-06,1.3566139629931646e-05,6.806521694296494e-05,0.001459886680360348,3.535217138189288e-05,3.39171580434136e-05,3.5439771854576365e-05,0.0007971025711708274,8.080078259103977e-05,0.0,7.629321025557175e-06,8.053163750445783e-05,0.0,0.0003737064318965826,0.00029665885371993876
01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar",2.7211691995428398e-05,2.3205191788650264e-06,1.963381961888239e-06,1.1305116358276373e-05,3.403260847148247e-05,0.0026277960246486264,2.0622099972770846e-05,6.909050712547215e-06,1.042346231016952e-05,0.00028695692562149785,0.00017214079769395428,0.0,0.0,0.0,0.0,0.00017586185030427415,0.00027369171665774997
01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,1.3605845997714199e-05,3.4807787682975396e-06,6.3809913761367785e-06,2.487125598820802e-05,1.7016304235741235e-05,0.0005839546721441393,3.829818566371728e-05,8.793337270514638e-06,7.445330221549657e-06,0.000669566159783495,1.0539232511874753e-05,0.0,0.0,0.0,0.0,0.00019784458159230838,0.00039426918623424123
01_188,"Biscuit, sweet, plain, unfortified",0.00018231833636937026,1.1602595894325134e-05,0.00011682122673235023,4.522046543310549e-05,0.00020419565082889482,0.003795705368936905,4.71362285091905e-05,6.846241160614969e-05,3.5439771854576365e-05,0.001976814376503652,0.0013701002265437178,0.00017176550683223443,3.8146605127785876e-06,4.026581875222891e-05,1.2464861294567157e-05,0.0005935337447769253,0.0012038607676763966
01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,4.353870719268543e-05,1.9724413020352724e-05,0.00039660315630142437,6.330865160634768e-05,0.0006296032567224257,0.012555025451098992,0.00010311049986385423,8.98176592631138e-05,5.9860454981259244e-05,0.0017217415537289875,0.000797468593398523,3.402901550449928e-05,7.629321025557175e-05,0.00024159491251337352,2.4929722589134315e-05,0.0009232747140974391,0.00029091706945439153
01_047,"Bread, wheat, white for toasting, unfortified",7.075039918811382e-05,1.3923115073190159e-05,3.534087531398831e-05,6.104762833469241e-05,0.0003403260847148247,0.0043796600410810444,7.070434276378576e-05,6.0925265374279995e-05,3.8120090734334245e-05,0.002805801050521313,0.001584397954285171,0.0,1.9073302563892938e-06,0.0,0.0,0.0008683178858773535,0.0008363865746813757
01_046,"Bread, wheat, white, unfortified",9.251975278445654e-05,1.6243634252055187e-05,9.816909809441199e-06,6.556967487800296e-05,0.00035734238895056595,0.0072994334018017405,8.543441417290778e-05,5.6528596739022676e-05,4.139603603181609e-05,0.0023913077135124827,0.0023748403926757773,0.0,1.9073302563892938e-06,0.0,0.0,0.001088145198757696,0.0009110297701334894
01_048,"Bread, wheat, wholemeal, unfortified",0.0002503475663579412,2.6685970556947808e-05,4.663032159484568e-05,0.00014470548938593758,0.0005275054313079783,0.006423501393585532,0.00020032897116405965,0.00012247862626788244,6.998610408256677e-05,0.0035391354159984736,0.0015387279467337137,0.0,1.9073302563892938e-06,0.0,0.0,0.001714653040466673,0.000597145563616909
01_045,"Bread/rolls, white, unfortified",7.075039918811382e-05,1.5083374662622673e-05,3.681341178540449e-05,5.6525581791381854e-05,0.0004934728228364958,0.002919773360720696,7.070434276378576e-05,6.657812504818226e-05,4.139603603181609e-05,0.0030289897704491443,0.0016019633418049625,0.0,2.5431070085190587e-06,0.0,0.0,0.0009562488110294907,0.0009282551229301309
01_160,Cantonese rice with fish and noodles (Burkina Faso)*,4.353870719268543e-05,1.9724413020352724e-05,0.00028174531153096234,3.6176372346484395e-05,0.0001531467381216711,0.0023358186885765572,6.481231420013694e-05,6.469383849021484e-05,5.6286696474915415e-05,0.0017536256565758204,0.0009590701585806026,7.129888962847467e-05,4.895480991399188e-05,0.00020132909376114458,1.2464861294567157e-05,0.0007034474012170966,0.0005760923546432358
01_189,"Croissant, plain, unfortified",0.00018776067476845593,1.856415343092021e-05,7.019090513750456e-05,6.783069814965824e-05,0.0010209782541444742,0.004087682705008974,6.481231420013694e-05,6.595002952885979e-05,3.931134356978219e-05,0.0026463805362871473,0.0013771263815516343,0.00012477305684983068,6.357767521297647e-06,0.0,1.2464861294567157e-05,0.0008573265202333365,0.0007024116084852743
01_002,"Fonio, black, whole grains, raw",0.0001387796291766848,5.1051421935030585e-05,5.104793100909423e-05,0.00037080781655146497,0.0020419565082889484,0.029197733607206962,0.0012667861411844949,0.00014697435152145896,0.00010125649101307534,0.0026463805362871473,2.8104620031666008e-05,3.2408586194761216e-06,0.0,0.0,0.0,0.00417671894472651,0.0008306447904158283
01_124,"Fonio, black, whole grains, boiled* (as part of a recipe)",5.714455319039963e-05,2.0884672609785236e-05,2.1106356090298576e-05,0.00015601060574421395,0.0006976684736653907,0.012263048115026926,0.0005273365564465687,6.155336089360246e-05,4.228947565840205e-05,0.0011159435996391583,1.0539232511874753e-05,1.6204293097380608e-06,0.0,0.0,0.0,0.001736635771754707,0.00034450705593283207
01_049,"Fonio, black, whole grains, boiled* (without salt), drained",5.714455319039963e-05,2.0884672609785236e-05,2.1106356090298576e-05,0.00015601060574421395,0.0006125869524866844,0.012263048115026926,0.0005273365564465687,5.84128832969901e-05,3.3652892601404454e-05,0.0011159435996391583,1.0539232511874753e-05,1.6204293097380608e-06,0.0,0.0,0.0,0.0016487048466025701,0.00034450705593283207
01_050,"Fonio, decorticated grains (bran removed), dry, raw",6.530806078902815e-05,0.00010906440140665623,2.7487347466435354e-05,4.974251197641604e-05,0.0010550108626159566,0.006131524057513463,0.00012078658555480067,7.097479368343957e-05,5.3010751177433565e-05,0.0022637713021251495,1.7565387519791256e-05,0.0,0.0,0.0,0.0,0.0018795235251269297,0.0014297042821212532
01_126,"Fonio, decorticated grains (bran removed), boiled* (as part of a recipe)",2.7211691995428398e-05,4.5250123987868016e-05,1.1289446280857377e-05,2.034920944489747e-05,0.00035734238895056595,0.0026277960246486264,5.008224279101491e-05,2.9520489408156286e-05,2.2038177455786988e-05,0.0009565230854049929,7.026155007916502e-06,0.0,0.0,0.0,0.0,0.0007803869607252165,0.0005952316355283933
