Code,Food name in English,Scientific name,eligibility_status,eligibility_reason,eligibility_rule_id,eligibility_source
12_016,"Ovaltine beverage with reduced fat milk, without sugar, fortified*",,exclude,Beverage powder/product outside core food-prioritization candidate set.,E007,Project food-candidate eligibility rule; WAFCT food name
12_017,"Ovaltine beverage with skimmed milk, without sugar, fortified*",,exclude,Beverage powder/product outside core food-prioritization candidate set.,E007,Project food-candidate eligibility rule; WAFCT food name
12_015,"Ovaltine beverage with whole milk, without sugar, fortified*",,exclude,Beverage powder/product outside core food-prioritization candidate set.,E007,Project food-candidate eligibility rule; WAFCT food name
13_016,"Allspice, ground",Pimenta dioica,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_004,Anis seed,Pimpinella anisum,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_019,Baking soda (sodium bicarbonate),,exclude,"Leavening/processing agent, not a standalone food recommendation.",E002,Project food-candidate eligibility rule; WAFCT food name
13_020,"Calabash nutmeg, seed, dried",Monodora myristica,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_006,"Chilli pepper, dried",Capsicum spp.,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_007,"Cinnamon, ground",Cinnamomum verum,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_008,"Cube, beef, dry",,exclude,Seasoning cube/condiment used in small amounts.,E004,Project food-candidate eligibility rule; WAFCT food name
13_009,"Cumin, seed",Cuminum cyminum,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_022,Curry powder,,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_011,"Ginger, root, dried",Zingiber officinale,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_001,Honey,,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_023,Jam or marmalade,,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_013,"Mustard, prepared, yellow",,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_012,"Mustard, powder",Brassica nigra,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_014,"Pepper, black",Piper nigrum,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_024,"Potash, solid",,exclude,Culinary additive/caustic compound; not a standalone food recommendation.,E001,MedlinePlus potassium carbonate/hydroxide; WAFCT food name
13_015,Salt,,exclude,"Seasoning used in small amounts, not a standalone food recommendation.",E003,Project food-candidate eligibility rule; WAFCT food name
13_002,"Sugar, white",,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_027,"Sugar, white, fortified with vitamin A (Nigeria)",,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_021,"Sweets, chocolate, milk",,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_028,"Ovaltine powder, fortified",,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_026,"Uda (Ethiopian pepper), fruit/seed, dried",Xylopia aethiopica,exclude,"Condiments, spices, additives, sweeteners, or minor-use ingredients; per-100g ranking would overstate relevance.",E006,Project food-candidate eligibility rule; WAFCT code group 13 and food names
13_003,Vinegar,,exclude,"Condiment used in small amounts, not a standalone food recommendation.",E005,Project food-candidate eligibility rule; WAFCT food name
13_017,"Yeast, dried",,manual_review,Ambiguous nutrient-dense ingredient/condiment; review before allowing into TOPSIS.,R001,Project food-candidate eligibility rule; WAFCT food name
13_018,"Yeast extract, Marmite",,manual_review,Ambiguous nutrient-dense ingredient/condiment; review before allowing into TOPSIS.,R001,Project food-candidate eligibility rule; WAFCT food name
