Code,Food name in English,Scientific name,eligibility_status,eligibility_reason,eligibility_rule_id,eligibility_source
01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar",,eligible,No exclusion or review rule matched.,,Default project rule
01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar",,eligible,No exclusion or review rule matched.,,Default project rule
01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,,eligible,No exclusion or review rule matched.,,Default project rule
01_188,"Biscuit, sweet, plain, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,,eligible,No exclusion or review rule matched.,,Default project rule
01_047,"Bread, wheat, white for toasting, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_046,"Bread, wheat, white, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_048,"Bread, wheat, wholemeal, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_045,"Bread/rolls, white, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_187,"Cake, plain, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_160,Cantonese rice with fish and noodles (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
01_182,"Cornflakes (breakfast cereal), unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_189,"Croissant, plain, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_002,"Fonio, black, whole grains, raw",Digitaria iburua,eligible,No exclusion or review rule matched.,,Default project rule
01_124,"Fonio, black, whole grains, boiled* (as part of a recipe)",Digitaria iburua,eligible,No exclusion or review rule matched.,,Default project rule
01_049,"Fonio, black, whole grains, boiled* (without salt), drained",Digitaria iburua,eligible,No exclusion or review rule matched.,,Default project rule
01_050,"Fonio, decorticated grains (bran removed), dry, raw",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_126,"Fonio, decorticated grains (bran removed), boiled* (as part of a recipe)",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_051,"Fonio, decorticated grains (bran removed), boiled* (without salt), drained",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_078,"Fonio, decorticated grains (bran removed), washed (mid wet), raw",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_128,"Fonio, decorticated grains (bran removed), washed (mid wet), boiled* (as part of a recipe)",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_127,"Fonio, decorticated grains (bran removed), washed (mid wet), boiled* (without salt), drained",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_001,"Fonio, white, whole grains, raw",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_125,"Fonio, white, whole grains, boiled* (as part of a recipe)",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_003,"Fonio, white, whole grains, boiled* (without salt), drained",Digitaria exilis,eligible,No exclusion or review rule matched.,,Default project rule
01_176,"Fura saamdin (Burkina Faso)*: fermented pearl millet porridge with milk, water and sugar",,eligible,No exclusion or review rule matched.,,Default project rule
01_174,Gappal (Burkina Faso)*: pearl millet porridge with milk and sugar,,eligible,No exclusion or review rule matched.,,Default project rule
01_180,"Gnon (Burkina Faso)*: steamed balls of cowpea leaves with groundnut flour, potash and pearl millet",,eligible,No exclusion or review rule matched.,,Default project rule
01_077,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, unprepared",,eligible,No exclusion or review rule matched.,,Default project rule
01_103,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, boiled and drained*",,eligible,No exclusion or review rule matched.,,Default project rule
01_164,Jollof fonio (Burkina Faso)*: fonio with fish and vegetables,,eligible,No exclusion or review rule matched.,,Default project rule
01_156,Jollof macaroni (Burkina Faso)*: macaroni in tomato sauce with mutton,,eligible,No exclusion or review rule matched.,,Default project rule
01_157,Jollof spaghetti (Burkina Faso)*: spaghetti in vegetable sauce,,eligible,No exclusion or review rule matched.,,Default project rule
01_165,Kaman péêlég sagabo (Burkina Faso)*: stiff porridge from white degermed maize flour,,eligible,No exclusion or review rule matched.,,Default project rule
01_167,Ki béinré (northern Burkina Faso)*: pearl millet porridge with water and sugar,,eligible,No exclusion or review rule matched.,,Default project rule
01_171,Ki saagbo né zièm (Burkina Faso)*: tô (porridge) from pearl millet and potash,,eligible,No exclusion or review rule matched.,,Default project rule
01_181,"Kiou gonré (Burkina Faso)*: steamed balls of fonio, cowpea leaves, groundnut flour and potash",,eligible,No exclusion or review rule matched.,,Default project rule
01_170,Kiou saagbo né zièm (Burkina Faso)*: tô (porridge) from fonio with potash and maize flour,,eligible,No exclusion or review rule matched.,,Default project rule
01_178,Kôrôkôrô-dôrô (Burkina Faso)*: tô (porridge) from white sorghum and maize flour,,eligible,No exclusion or review rule matched.,,Default project rule
01_052,"Macaroni, dry, unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_053,"Macaroni, boiled* (without salt), drained",,eligible,No exclusion or review rule matched.,,Default project rule
01_099,"Maize dough, fermented (kenkey), from whole white maize with salt added, cooked",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_098,"Maize dough, fermented (tô), from decorticated white maize only, cooked",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_100,"Maize porridge, fermented (ogi), from decorticated white maize only, cooked",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_008,"Maize, Gougba variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_009,"Maize, Gbaévè variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_010,"Maize, DMR-ESR-W variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_011,"Maize, POZA - RICA 7843 - SR  variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_012,"Maize, TZPB-SR variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
