Code,Food name in English,rank,topsis_score,nutrient,value_per_100g,rdi,percent_rdi
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Protein, total
(g)",1.0,50.0,2.0
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Fibre, total dietary or [fibre, crude]
(g)",3.4,28.0,12.142857142857142
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Calcium
(mg)",37.0,1300.0,2.8461538461538463
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Iron
(mg)",65.2,18.0,362.22222222222223
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Magnesium
(mg)",9.0,420.0,2.142857142857143
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Phosphorus
(mg)",46.0,1250.0,3.6799999999999997
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Potassium
(mg)",108.0,4700.0,2.297872340425532
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Zinc
(mg)",0.2,11.0,1.8181818181818183
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Copper
(mg)",0.07,0.9,7.777777777777778
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",610.0,900.0,67.77777777777779
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Vitamin C
(mg)",3.0,90.0,3.3333333333333335
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Vitamin B6
(mg)",0.19,1.7,11.176470588235295
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Thiamine (vitamin B1)
(mg)",0.03,1.2,2.5
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Riboflavin (vitamin B2)
(mg)",0.03,1.3,2.3076923076923075
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Niacin, preformed
(mg)",0.4,16.0,2.5
04_007,"Carrot, boiled* (without salt), drained",1.0,0.7903982376382545,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",9.0,400.0,2.25
04_043,"Onion, fresh, boiled* (without salt), drained",2.0,0.780830759710783,"Protein, total
(g)",1.4,50.0,2.8
04_043,"Onion, fresh, boiled* (without salt), drained",2.0,0.780830759710783,"Fibre, total dietary or [fibre, crude]
(g)",2.2,28.0,7.8571428571428585
04_043,"Onion, fresh, boiled* (without salt), drained",2.0,0.780830759710783,"Calcium
(mg)",28.0,1300.0,2.1538461538461537
04_043,"Onion, fresh, boiled* (without salt), drained",2.0,0.780830759710783,"Iron
(mg)",62.9,18.0,349.44444444444446
