Code,Food name in English,topsis_score,distance_to_ideal,distance_to_worst,rank
04_007,"Carrot, boiled* (without salt), drained",0.7903982376382545,0.05059959939583375,0.1908086732526823,1.0
04_043,"Onion, fresh, boiled* (without salt), drained",0.780830759710783,0.051677297778644514,0.18410988526971966,2.0
04_075,"Jute mallow (bush-okra), leaves, dried",0.613207505315616,0.07923307329584979,0.1256133867175551,3.0
06_039,"Benniseed, dried, raw",0.6015414379402395,0.08233375381015626,0.12429690154468567,4.0
04_031,"Cowpea, leaves, dried",0.5134928781666108,0.09845607922146266,0.10391727730913349,5.0
01_001,"Fonio, white, whole grains, raw",0.42922558650332077,0.11558343817998187,0.08691939910015198,6.0
09_057,"Shrimp (crayfish), whole, dried",0.38437319753426824,0.12456744271180055,0.07777501900831676,7.0
04_069,"Turnip, boiled* (without salt), drained",0.3081468167358141,0.13939169660358466,0.06208413667354227,8.0
07_018,"Beef liver, boiled* (without salt), drained",0.281408355150101,0.15109248382154522,0.05916947080096607,9.0
04_055,"Pumpkin, leaves, dried",0.27044579532555746,0.14675792639723317,0.05440317370597666,10.0
07_089,"Beef liver, stewed* (as part of a recipe)",0.2698433473166242,0.15406791750588716,0.0569387437902566,11.0
07_054,"Lamb liver, boiled* (without salt), drained",0.264291952564937,0.1501376924281965,0.053934687847687804,12.0
07_132,"Lamb liver, stewed* (as part of a recipe)",0.25001221516744,0.15341087795085667,0.051140290819321,13.0
04_071,"Sicklepod, leaves, dried",0.24703418952189576,0.15066525601886543,0.04943049059039802,14.0
07_088,"Beef liver, grilled* (without salt or fat)",0.2452916689323232,0.15878567239996977,0.051607754919611545,15.0
07_108,"Chicken liver, boiled* (without salt), drained",0.23819470827432784,0.1540458595776573,0.048165730773344836,16.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",0.23256637421685378,0.1537836818445537,0.0466032658704639,17.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",0.23241708386300644,0.1538166013088872,0.04657425950260452,18.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",0.23239034211518236,0.15382279754736217,0.04656915423087326,19.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",0.2322199500009485,0.15386356519862496,0.04653701202243599,20.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",0.23203237613829902,0.1539126131215973,0.046502884015707235,21.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",0.23194241386851755,0.15393799732069663,0.046487075096131564,22.0
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",0.23190474667906374,0.1539489668981239,0.04648055825843738,23.0
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",0.231889396094073,0.15395348507373244,0.0464779167203087,24.0
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",0.23185247197832112,0.15396472781377957,0.0464716756077183,25.0
01_031,"Pearl millet, IKMP 13 variety, whole grains, raw (Burkina Faso), n=1",0.23185105213457516,0.15396498342390147,0.04647138227281394,26.0
01_017,"Pearl millet, whole grains (with bran), raw",0.23182833367610214,0.15397237564200061,0.04646768533921047,27.0
01_019,"Pearl millet, IKMP 1 variety, whole grains, raw (Burkina Faso), n=1",0.23174150730211004,0.15399980123090667,0.04645330497571169,28.0
01_020,"Pearl millet, IKMP 2 variety, whole grains, raw (Burkina Faso), n=1",0.2316969495965295,0.15401480564822112,0.046446204583797376,29.0
01_026,"Pearl millet, IKMP 8 variety, whole grains, raw (Burkina Faso), n=1",0.23166135839414237,0.15402681983161126,0.04644054116130876,30.0
01_028,"Pearl millet, IKMP 10 variety, whole grains, raw (Burkina Faso), n=1",0.23165546501153833,0.15402948083883752,0.046439805821931926,31.0
01_029,"Pearl millet, IKMP 11 variety, whole grains, raw (Burkina Faso), n=1",0.23161037055126849,0.15404541354430834,0.046432843371815954,32.0
07_131,"Lamb liver, grilled* (without salt or fat)",0.22607165684802003,0.15822828690069382,0.046219952139469854,33.0
07_042,"Chicken liver, stewed* (as part of a recipe)",0.2234466569854615,0.15700889097124546,0.04517798052137519,34.0
03_009,"African locust bean, dry, raw",0.22235734526873835,0.1561693929097854,0.044654715643975114,35.0
04_014,"False sesame, leaves, dried",0.22141306882337145,0.15589577877839875,0.044333344696360126,36.0
07_001,"Beef liver, raw",0.2185806573913601,0.1639342513534406,0.0458561165253133,37.0
07_109,"Chicken liver, grilled* (without salt or fat)",0.20754075527365998,0.16154220138906436,0.042307021727576465,38.0
07_053,"Lamb liver, raw",0.19904618594489792,0.16376332383489714,0.04069705947458411,39.0
04_062,"Tamarind, leaves, dried",0.196630778069049,0.16117279760887884,0.03944827824151206,40.0
01_125,"Fonio, white, whole grains, boiled* (as part of a recipe)",0.19032493101396813,0.162558777866238,0.03821161027207133,41.0
01_003,"Fonio, white, whole grains, boiled* (without salt), drained",0.19029757527569555,0.16257226075012016,0.038207996028133136,42.0
07_041,"Chicken liver, raw",0.18350754524069166,0.16644341295533038,0.03740833360415962,43.0
07_027,"Game meat, dried, salted",0.18005321573429442,0.16800178565416443,0.03689173777689165,44.0
06_015,"Sesame seed, whole, dried, raw",0.17818103613149203,0.1648673821364495,0.03574539194748911,45.0
04_101,"Moringa (drumstick), leaves, fresh, boiled* (as part of a recipe)",0.17514505226389562,0.16534032864243606,0.03510743383535336,46.0
04_011,"Moringa (drumstick), leaves, fresh, raw",0.17008154350174912,0.16693708417860867,0.03421169480261947,47.0
03_057,"Ground bean, dry, raw",0.16796085371171385,0.16763445164240695,0.03383978474445257,48.0
01_073,"Wheat, bran, raw",0.1662974005911382,0.1678999844080349,0.03349075675924065,49.0
09_095,"Venus clams, flesh, boiled* (as part of a recipe)",0.16469665008060116,0.166868846554612,0.032901508216159274,50.0
07_115,"Goat meat, lean, stewed* (as part of a recipe)",0.16373382764934774,0.16899487161214652,0.03308776331869197,51.0
01_002,"Fonio, black, whole grains, raw",0.16123815076924505,0.16845866091958436,0.032383402979818225,52.0
09_053,"Fish, whole, dried",0.1603855529486511,0.1744375033839047,0.03332155078258048,53.0
11_025,"Palm kernel oil, fortified with vitamin A, 1100–2400 mcg/100g (Benin, Burkina Faso, Côte d’Ivoire, Guinea, Guinea-Bissau, Liberia, Mali, Niger, Senegal, Togo)",0.16037515971380842,0.16843786201375785,0.03217299885160758,54.0
07_040,"Chicken giblets, stewed* (as part of a recipe)",0.15972245784835556,0.16907979159683786,0.032139190364629484,55.0
11_026,"Palm kernel oil, fortified with vitamin A, 600–1000 mcg/100g (Ghana, Nigeria, Sierra Leone)",0.15969750402786936,0.16876816303965628,0.03207399064740551,56.0
11_012,"Palm kernel oil, unfortified",0.1593588806323483,0.16905668346205213,0.032047782602158716,57.0
07_107,"Chicken giblets, grilled* (without salt or fat)",0.15505509385773794,0.170437949261624,0.031276917616249844,58.0
07_106,"Chicken giblets, boiled* (without salt), drained",0.1547049930723146,0.17013668141437915,0.03113823446707035,59.0
01_041,"Sorghum, whole grains, red, raw",0.1535912735762839,0.16999733151931964,0.030848106638672837,60.0
03_022,"Bean, white, dry, raw",0.15148513782198056,0.17102929031204264,0.030533814750176632,61.0
06_038,"Pumpkin seed, kernel only, dried, raw",0.1504329594989574,0.17260128570970756,0.030562534779272132,62.0
